x;y;track_id_x;track_type;track_id_type;percent_of_track;completion_group;track_id_y;best_strategy;best_bias
0.0;0.0;1;1;1_1;0.0;1;;brak;
6.646877026746438;-0.1382504942007472;1;1;1_1;0.0019899148939807273;1;;brak;
13.293754053492847;-0.2765009884014944;1;1;1_1;0.003979829787961446;1;;brak;
19.940631080239285;-0.4147514826022416;1;1;1_1;0.005969744681942174;1;;brak;
26.587508106985663;-0.5530019768029888;1;1;1_1;0.007959659575922883;1;;brak;
33.234385133732104;-0.691252471003736;1;1;1_1;0.009949574469903612;1;;brak;
39.88126216047854;-0.8295029652044832;1;1;1_1;0.011939489363884339;1;;brak;
46.52813918722492;-0.9677534594052304;1;1;1_1;0.013929404257865048;1;;brak;
53.17501621397136;-1.1060039536059776;1;1;1_1;0.015919319151845777;1;;brak;
59.960143734918574;5.402622578939827;1;1;1_1;0.018733483782881567;1;;brak;
66.6070207616649;5.26437208473908;1;1;1_1;0.02072339867686226;1;;brak;
73.25389778841134;5.126121590538332;1;1;1_1;0.02271331357084299;1;;brak;
79.90077481515777;4.987871096337585;1;1;1_1;0.024703228464823715;1;;brak;
86.54765184190421;4.849620602136838;1;1;1_1;0.026693143358804444;1;;brak;
93.19452886865064;4.711370107936091;1;1;1_1;0.028683058252785165;1;;brak;
99.84140589539696;4.573119613735344;1;1;1_1;0.03067297314676586;1;;brak;
106.62653341634422;11.08174614628092;1;1;1_1;0.033487137777801615;1;;brak;
113.27341044309064;10.943495652080172;1;1;1_1;0.03547705267178234;1;;brak;
119.92028746983704;10.805245157879426;1;1;1_1;0.03746696756576305;1;;brak;
126.70541499078422;17.31387169042523;1;1;1_1;0.040281132196798845;1;;brak;
133.35229201753066;17.175621196224483;1;1;1_1;0.04227104709077957;1;;brak;
139.99916904427704;17.037370702023736;1;1;1_1;0.04426096198476028;1;;brak;
146.64604607102348;16.89912020782299;1;1;1_1;0.04625087687874101;1;;brak;
153.29292309776991;16.760869713622014;1;1;1_1;0.04824079177272173;1;;brak;
159.9398001245163;16.622619219421267;1;1;1_1;0.05023070666670244;1;;brak;
166.58667715126273;16.48436872522052;1;1;1_1;0.05222062156068317;1;;brak;
173.23355417800917;16.346118231019773;1;1;1_1;0.0542105364546639;1;;brak;
179.88043120475555;16.207867736819026;1;1;1_1;0.05620045134864461;1;;brak;
186.527308231502;16.06961724261828;1;1;1_1;0.05819036624262534;1;;brak;
193.17418525824843;15.931366748417531;1;1;1_1;0.06018028113660606;1;;brak;
199.8210622849948;15.793116254216784;1;1;1_1;0.06217019603058677;1;;brak;
206.46793931174125;15.654865760016037;1;1;1_1;0.0641601109245675;1;;brak;
213.11481633848769;15.51661526581529;1;1;1_1;0.06615002581854823;1;;brak;
219.76169336523407;15.378364771614542;1;1;1_1;0.06813994071252893;1;;brak;
226.4085703919805;15.240114277413795;1;1;1_1;0.07012985560650967;1;;brak;
233.0554474187269;15.101863783213048;1;1;1_1;0.07211977050049038;1;;brak;
239.84057493967407;21.610490315758625;1;1;1_1;0.07493393513152612;1;;brak;
246.4874519664205;21.47223982155788;1;1;1_1;0.07692385002550685;1;;brak;
253.13432899316692;21.33398932735713;1;1;1_1;0.07891376491948758;1;;brak;
259.9194565141141;27.842615859902708;1;1;1_1;0.0817279295505233;1;;brak;
266.5663335408605;27.70436536570196;1;1;1_1;0.08371784444450403;1;;brak;
273.2132105676069;27.566114871501213;1;1;1_1;0.08570775933848473;1;;brak;
279.8600875943534;27.427864377300462;1;1;1_1;0.08769767423246548;1;;brak;
286.5069646210997;27.28961388309972;1;1;1_1;0.08968758912644617;1;;brak;
293.1538416478461;27.15136338889897;1;1;1_1;0.09167750402042689;1;;brak;
299.8007186745926;27.013112894698224;1;1;1_1;0.09366741891440762;1;;brak;
306.447595701339;26.87486240049748;1;1;1_1;0.09565733380838835;1;;brak;
313.0944727280854;26.73661190629673;1;1;1_1;0.09764724870236906;1;;brak;
319.74134975483184;26.598361412095983;1;1;1_1;0.09963716359634979;1;;brak;
326.38822678157817;26.46011091789524;1;1;1_1;0.10162707849033048;2;1_1;SR_1_SM_1;0.7557337894349376
333.0351038083246;26.32186042369449;1;1;1_1;0.10361699338431121;2;1_1;SR_1_SM_1;0.7557337894349376
339.68198083507104;26.18360992949374;1;1;1_1;0.10560690827829194;2;1_1;SR_1_SM_1;0.7557337894349376
346.3288578618175;26.045359435292998;1;1;1_1;0.10759682317227266;2;1_1;SR_1_SM_1;0.7557337894349376
352.9757348885639;25.907108941092247;1;1;1_1;0.1095867380662534;2;1_1;SR_1_SM_1;0.7557337894349376
359.7608624095111;32.41573547363805;1;1;1_1;0.11240090269728918;2;1_1;SR_1_SM_1;0.7557337894349376
366.40773943625743;32.277484979437304;1;1;1_1;0.11439081759126987;2;1_1;SR_1_SM_1;0.7557337894349376
373.1928669572047;38.78611151198288;1;1;1_1;0.11720498222230565;2;1_1;SR_1_SM_1;0.7557337894349376
379.8397439839512;38.64786101778213;1;1;1_1;0.11919489711628639;2;1_1;SR_1_SM_1;0.7557337894349376
386.4866210106976;38.50961052358139;1;1;1_1;0.12118481201026711;2;1_1;SR_1_SM_1;0.7557337894349376
393.133498037444;38.37136002938064;1;1;1_1;0.12317472690424781;2;1_1;SR_1_SM_1;0.7557337894349376
399.7803750641905;38.23310953517989;1;1;1_1;0.12516464179822856;2;1_1;SR_1_SM_1;0.7557337894349376
406.4272520909368;38.094859040979145;1;1;1_1;0.12715455669220926;2;1_1;SR_1_SM_1;0.7557337894349376
413.0741291176832;37.95660854677817;1;1;1_1;0.12914447158618997;2;1_1;SR_1_SM_1;0.7557337894349376
419.7210061444297;37.81835805257742;1;1;1_1;0.1311343864801707;2;1_1;SR_1_SM_1;0.7557337894349376
426.3678831711761;37.68010755837668;1;1;1_1;0.13312430137415143;2;1_1;SR_1_SM_1;0.7557337894349376
433.01476019792256;37.54185706417593;1;1;1_1;0.13511421626813216;2;1_1;SR_1_SM_1;0.7557337894349376
439.6616372246689;37.40360656997518;1;1;1_1;0.13710413116211284;2;1_1;SR_1_SM_1;0.7557337894349376
446.3085142514153;37.265356075774434;1;1;1_1;0.13909404605609357;2;1_1;SR_1_SM_1;0.7557337894349376
452.95539127816176;37.12710558157369;1;1;1_1;0.1410839609500743;2;1_1;SR_1_SM_1;0.7557337894349376
459.6022683049082;36.98885508737294;1;1;1_1;0.14307387584405504;2;1_1;SR_1_SM_1;0.7557337894349376
466.2491453316546;36.85060459317219;1;1;1_1;0.14506379073803574;2;1_1;SR_1_SM_1;0.7557337894349376
472.896022358401;36.712354098971446;1;1;1_1;0.14705370563201647;2;1_1;SR_1_SM_1;0.7557337894349376
479.5428993851474;36.5741036047707;1;1;1_1;0.14904362052599718;2;1_1;SR_1_SM_1;0.7557337894349376
486.3280269060946;43.0827301373165;1;1;1_1;0.15185778515703297;2;1_1;SR_1_SM_1;0.7557337894349376
492.974903932841;42.94447964311576;1;1;1_1;0.1538477000510137;2;1_1;SR_1_SM_1;0.7557337894349376
499.7600314537882;49.45310617566133;1;1;1_1;0.15666186468204943;2;1_1;SR_1_SM_1;0.7557337894349376
506.4069084805346;49.314855681460585;1;1;1_1;0.15865177957603016;2;1_1;SR_1_SM_1;0.7557337894349376
513.0537855072811;49.17660518725984;1;1;1_1;0.16064169447001092;2;1_1;SR_1_SM_1;0.7557337894349376
519.7006625340274;49.03835469305909;1;1;1_1;0.1626316093639916;2;1_1;SR_1_SM_1;0.7557337894349376
526.3475395607738;48.90010419885834;1;1;1_1;0.1646215242579723;2;1_1;SR_1_SM_1;0.7557337894349376
532.9944165875203;48.7618537046576;1;1;1_1;0.16661143915195303;2;1_1;SR_1_SM_1;0.7557337894349376
539.6412936142667;48.62360321045685;1;1;1_1;0.16860135404593374;2;1_1;SR_1_SM_1;0.7557337894349376
546.2881706410132;48.4853527162561;1;1;1_1;0.17059126893991447;2;1_1;SR_1_SM_1;0.7557337894349376
552.9350476677596;48.34710222205536;1;1;1_1;0.1725811838338952;2;1_1;SR_1_SM_1;0.7557337894349376
559.5819246945059;48.20885172785461;1;1;1_1;0.1745710987278759;2;1_1;SR_1_SM_1;0.7557337894349376
566.2288017212524;48.07060123365386;1;1;1_1;0.1765610136218566;2;1_1;SR_1_SM_1;0.7557337894349376
573.0139292421995;54.57922776619944;1;1;1_1;0.17937517825289237;2;1_1;SR_1_SM_1;0.7557337894349376
579.660806268946;54.44097727199869;1;1;1_1;0.1813650931468731;2;1_1;SR_1_SM_1;0.7557337894349376
586.3076832956924;54.30272677779794;1;1;1_1;0.18335500804085383;2;1_1;SR_1_SM_1;0.7557337894349376
592.9545603224389;54.1644762835972;1;1;1_1;0.18534492293483457;2;1_1;SR_1_SM_1;0.7557337894349376
599.6014373491852;54.02622578939645;1;1;1_1;0.18733483782881524;2;1_1;SR_1_SM_1;0.7557337894349376
606.3865648701324;60.53485232194225;1;1;1_1;0.19014900245985106;2;1_1;SR_1_SM_1;0.7557337894349376
613.0334418968788;60.39660182774151;1;1;1_1;0.19213891735383176;2;1_1;SR_1_SM_1;0.7557337894349376
619.6803189236252;60.25835133354076;1;1;1_1;0.1941288322478125;2;1_1;SR_1_SM_1;0.7557337894349376
626.3271959503717;60.12010083934001;1;1;1_1;0.19611874714179323;2;1_1;SR_1_SM_1;0.7557337894349376
632.974072977118;59.981850345139264;1;1;1_1;0.19810866203577393;2;1_1;SR_1_SM_1;0.7557337894349376
639.6209500038644;59.84359985093852;1;1;1_1;0.20009857692975463;3;1_1;SR_0_SM_0;0.38854812993717214
646.2678270306109;59.70534935673777;1;1;1_1;0.20208849182373537;3;1_1;SR_0_SM_0;0.38854812993717214
652.9147040573573;59.56709886253702;1;1;1_1;0.2040784067177161;3;1_1;SR_0_SM_0;0.38854812993717214
659.5615810841038;59.42884836833628;1;1;1_1;0.20606832161169683;3;1_1;SR_0_SM_0;0.38854812993717214
666.3467086050509;65.93747490088185;1;1;1_1;0.20888248624273256;3;1_1;SR_0_SM_0;0.38854812993717214
672.9935856317973;65.79922440668088;1;1;1_1;0.21087240113671324;3;1_1;SR_0_SM_0;0.38854812993717214
679.6404626585437;65.66097391248013;1;1;1_1;0.21286231603069397;3;1_1;SR_0_SM_0;0.38854812993717214
686.4255901794909;72.16960044502594;1;1;1_1;0.21567648066172976;3;1_1;SR_0_SM_0;0.38854812993717214
693.0724672062373;72.03134995082519;1;1;1_1;0.2176663955557105;3;1_1;SR_0_SM_0;0.38854812993717214
699.7193442329838;71.89309945662444;1;1;1_1;0.21965631044969122;3;1_1;SR_0_SM_0;0.38854812993717214
706.3662212597302;71.7548489624237;1;1;1_1;0.22164622534367195;3;1_1;SR_0_SM_0;0.38854812993717214
713.0130982864765;71.61659846822295;1;1;1_1;0.22363614023765263;3;1_1;SR_0_SM_0;0.38854812993717214
719.659975313223;71.4783479740222;1;1;1_1;0.22562605513163336;3;1_1;SR_0_SM_0;0.38854812993717214
726.3068523399694;71.34009747982145;1;1;1_1;0.2276159700256141;3;1_1;SR_0_SM_0;0.38854812993717214
732.9537293667158;71.2018469856207;1;1;1_1;0.22960588491959483;3;1_1;SR_0_SM_0;0.38854812993717214
739.6006063934623;71.06359649141996;1;1;1_1;0.23159579981357553;3;1_1;SR_0_SM_0;0.38854812993717214
746.2474834202087;70.92534599721921;1;1;1_1;0.23358571470755626;3;1_1;SR_0_SM_0;0.38854812993717214
752.894360446955;70.78709550301846;1;1;1_1;0.23557562960153697;3;1_1;SR_0_SM_0;0.38854812993717214
759.6794879679022;77.29572203556404;1;1;1_1;0.23838979423257273;3;1_1;SR_0_SM_0;0.38854812993717214
766.3263649946487;77.1574715413633;1;1;1_1;0.24037970912655346;3;1_1;SR_0_SM_0;0.38854812993717214
772.9732420213951;77.01922104716255;1;1;1_1;0.24236962402053416;3;1_1;SR_0_SM_0;0.38854812993717214
779.6201190481415;76.8809705529618;1;1;1_1;0.2443595389145149;3;1_1;SR_0_SM_0;0.38854812993717214
786.266996074888;76.74272005876105;1;1;1_1;0.24634945380849563;3;1_1;SR_0_SM_0;0.38854812993717214
793.052123595835;83.25134659130686;1;1;1_1;0.24916361843953136;3;1_1;SR_0_SM_0;0.38854812993717214
799.6990006225816;83.11309609710611;1;1;1_1;0.2511535333335121;3;1_1;SR_0_SM_0;0.38854812993717214
806.3458776493279;82.97484560290536;1;1;1_1;0.2531434482274928;3;1_1;SR_0_SM_0;0.38854812993717214
812.9927546760742;82.83659510870461;1;1;1_1;0.2551333631214735;3;1_1;SR_0_SM_0;0.38854812993717214
819.6396317028208;82.69834461450387;1;1;1_1;0.25712327801545426;3;1_1;SR_0_SM_0;0.38854812993717214
826.4247592237679;89.20697114704944;1;1;1_1;0.25993744264649;3;1_1;SR_0_SM_0;0.38854812993717214
833.0716362505144;89.0687206528487;1;1;1_1;0.26192735754047075;3;1_1;SR_0_SM_0;0.38854812993717214
839.7185132772607;88.93047015864795;1;1;1_1;0.26391727243445146;3;1_1;SR_0_SM_0;0.38854812993717214
846.5036407982078;95.43909669119353;1;1;1_1;0.26673143706548713;3;1_1;SR_0_SM_0;0.38854812993717214
853.1505178249544;95.30084619699278;1;1;1_1;0.26872135195946795;3;1_1;SR_0_SM_0;0.38854812993717214
859.7973948517007;95.16259570279205;1;1;1_1;0.27071126685344865;3;1_1;SR_0_SM_0;0.38854812993717214
